id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genre
4kFfFe38CRVnTsakUTL4E4,Damaged,Rise Above,Black Flag,FALSE,54,0.374,0.816,2,-13.88,1,0.0578,0.119,8.01E-06,0.0808,0.138,104.56,audio_features,spotify:track:4kFfFe38CRVnTsakUTL4E4,https://api.spotify.com/v1/tracks/4kFfFe38CRVnTsakUTL4E4,https://api.spotify.com/v1/audio-analysis/4kFfFe38CRVnTsakUTL4E4,2.442666667,4,hardcore
2yQMdhTWfpYBWvR1zAexED,Bad Brains,Attitude,Bad Brains,TRUE,0,0.173,0.885,9,-11.475,0,0.0653,0.000253,0.000216,0.193,0.213,165.814,audio_features,spotify:track:2yQMdhTWfpYBWvR1zAexED,https://api.spotify.com/v1/tracks/2yQMdhTWfpYBWvR1zAexED,https://api.spotify.com/v1/audio-analysis/2yQMdhTWfpYBWvR1zAexED,1.330883333,4,hardcore
7L7rEquwHEQs1XqN7EUhgG,First Two 7s,Minor Threat,Minor Threat,FALSE,0,0.276,0.91,2,-7.465,1,0.0491,0.00101,0.0014,0.276,0.935,166.469,audio_features,spotify:track:7L7rEquwHEQs1XqN7EUhgG,https://api.spotify.com/v1/tracks/7L7rEquwHEQs1XqN7EUhgG,https://api.spotify.com/v1/audio-analysis/7L7rEquwHEQs1XqN7EUhgG,1.520666667,4,hardcore
12OdPauMcbJ6d0VcKjeCgM,Group Sex,Live Fast Die Young,Circle Jerks,FALSE,0,0.507,0.883,4,-9.389,0,0.0357,0.095,0.000129,0.0673,0.805,108.275,audio_features,spotify:track:12OdPauMcbJ6d0VcKjeCgM,https://api.spotify.com/v1/tracks/12OdPauMcbJ6d0VcKjeCgM,https://api.spotify.com/v1/audio-analysis/12OdPauMcbJ6d0VcKjeCgM,1.56,4,hardcore
6vTSyIt0CUXaB6mDWjFsBA,The Dirty Rotten CD,I Don't Need Society,D.R.I.,FALSE,34,0.379,0.922,5,-5.693,1,0.175,0.00165,0.068,0.256,0.352,119.149,audio_features,spotify:track:6vTSyIt0CUXaB6mDWjFsBA,https://api.spotify.com/v1/tracks/6vTSyIt0CUXaB6mDWjFsBA,https://api.spotify.com/v1/audio-analysis/6vTSyIt0CUXaB6mDWjFsBA,1.28245,4,hardcore
6oVoFa1a6YqQrCAoAUfSMA,Side B,Who Are You??,Void,FALSE,7,0.226,0.91,0,-9.146,0,0.177,0.000478,0.695,0.203,0.186,92.901,audio_features,spotify:track:6oVoFa1a6YqQrCAoAUfSMA,https://api.spotify.com/v1/tracks/6oVoFa1a6YqQrCAoAUfSMA,https://api.spotify.com/v1/audio-analysis/6oVoFa1a6YqQrCAoAUfSMA,2.359333333,4,hardcore
1O546awreywj6009LmiYrz,Suicidal Tendencies,I Shot The Devil,Suicidal Tendencies,FALSE,0,0.407,0.966,4,-8.561,1,0.137,0.00368,1.63E-06,0.15,0.181,104.096,audio_features,spotify:track:1O546awreywj6009LmiYrz,https://api.spotify.com/v1/tracks/1O546awreywj6009LmiYrz,https://api.spotify.com/v1/audio-analysis/1O546awreywj6009LmiYrz,1.853333333,4,hardcore
523qoxtSZJE2io945dAkVk,Zen Arcade,Something I Learned Today,Hüsker Dü,FALSE,44,0.406,0.963,4,-10.842,1,0.0408,0.0033,0.000515,0.11,0.342,104.729,audio_features,spotify:track:523qoxtSZJE2io945dAkVk,https://api.spotify.com/v1/tracks/523qoxtSZJE2io945dAkVk,https://api.spotify.com/v1/audio-analysis/523qoxtSZJE2io945dAkVk,2.042666667,4,hardcore
2WH1MBYu7eCd1fDs9keLAI,Jon Savage Presents Black Hole - Californian Punk 1977-80,California Uber Alles,Dead Kennedys,FALSE,0,0.241,0.857,8,-6.14,1,0.126,0.106,0.00025,0.143,0.65,163.589,audio_features,spotify:track:2WH1MBYu7eCd1fDs9keLAI,https://api.spotify.com/v1/tracks/2WH1MBYu7eCd1fDs9keLAI,https://api.spotify.com/v1/audio-analysis/2WH1MBYu7eCd1fDs9keLAI,3.471783333,4,hardcore
2mpx1DORqOCm3JxljOGcMs,Hear Nothing See Nothing Say Nothing,Hear Nothing See Nothing Say Nothing,Discharge,FALSE,0,0.188,0.978,1,-3.037,1,0.195,3.48E-06,0.00237,0.124,0.226,154.579,audio_features,spotify:track:2mpx1DORqOCm3JxljOGcMs,https://api.spotify.com/v1/tracks/2mpx1DORqOCm3JxljOGcMs,https://api.spotify.com/v1/audio-analysis/2mpx1DORqOCm3JxljOGcMs,1.50645,4,hardcore
4Z3VVXMLfvU3J1VPcblVWI,The Age of Quarrel,We Gotta Know,Cro-Mags,FALSE,24,0.338,0.979,8,-4.623,0,0.0902,0.000156,0.00199,0.137,0.0808,105.259,audio_features,spotify:track:4Z3VVXMLfvU3J1VPcblVWI,https://api.spotify.com/v1/tracks/4Z3VVXMLfvU3J1VPcblVWI,https://api.spotify.com/v1/audio-analysis/4Z3VVXMLfvU3J1VPcblVWI,3.326883333,4,hardcore
3liFiHiH5TWRqJx1K14DDe,Adolescents,Amoeba,Adolescents,FALSE,0,0.403,0.965,4,-7.342,1,0.0588,6.90E-05,0.00243,0.78,0.521,94.566,audio_features,spotify:track:3liFiHiH5TWRqJx1K14DDe,https://api.spotify.com/v1/tracks/3liFiHiH5TWRqJx1K14DDe,https://api.spotify.com/v1/audio-analysis/3liFiHiH5TWRqJx1K14DDe,3.11045,4,hardcore
7CdGO6KJg20UAAXl7CW8q6,Start Today,New Direction,Gorilla Biscuits,TRUE,43,0.356,0.983,6,-4.354,1,0.136,0.00321,2.39E-06,0.246,0.19,137.374,audio_features,spotify:track:7CdGO6KJg20UAAXl7CW8q6,https://api.spotify.com/v1/tracks/7CdGO6KJg20UAAXl7CW8q6,https://api.spotify.com/v1/audio-analysis/7CdGO6KJg20UAAXl7CW8q6,2.48555,4,hardcore
0qHt7KGw9LPm4Ms4qUZlSd,The Record,I Love Livin' in the City,Fear,TRUE,39,0.547,0.839,5,-9.521,0,0.0709,0.00115,0,0.433,0.343,95.611,audio_features,spotify:track:0qHt7KGw9LPm4Ms4qUZlSd,https://api.spotify.com/v1/tracks/0qHt7KGw9LPm4Ms4qUZlSd,https://api.spotify.com/v1/audio-analysis/0qHt7KGw9LPm4Ms4qUZlSd,2.084,4,hardcore
6MYusHmom4vpQN4qGyHl0h,Bad Brains,Banned In D.C.,Bad Brains,TRUE,0,0.139,0.712,9,-12.103,0,0.0399,0.000612,0.816,0.0983,0.689,152.933,audio_features,spotify:track:6MYusHmom4vpQN4qGyHl0h,https://api.spotify.com/v1/tracks/6MYusHmom4vpQN4qGyHl0h,https://api.spotify.com/v1/audio-analysis/6MYusHmom4vpQN4qGyHl0h,2.213116667,4,hardcore
4rrbptVnZifk4wC5mvNDPm,My War,My War,Black Flag,FALSE,49,0.215,0.503,1,-16.318,0,0.0463,0.65,0.0283,0.098,0.35,186.866,audio_features,spotify:track:4rrbptVnZifk4wC5mvNDPm,https://api.spotify.com/v1/tracks/4rrbptVnZifk4wC5mvNDPm,https://api.spotify.com/v1/audio-analysis/4rrbptVnZifk4wC5mvNDPm,3.772216667,1,hardcore
1rmennvo73CrzQPCrYU6o5,Minor Disturbance,Sneakers,Teen Idles,FALSE,12,0.325,0.898,1,-11.991,1,0.0692,0.000537,5.58E-05,0.193,0.306,102.488,audio_features,spotify:track:1rmennvo73CrzQPCrYU6o5,https://api.spotify.com/v1/tracks/1rmennvo73CrzQPCrYU6o5,https://api.spotify.com/v1/audio-analysis/1rmennvo73CrzQPCrYU6o5,1.474883333,1,hardcore
2c2HQH3k6C9LLjLAKGeMxn,"Sorry Ma, Forgot to Take out the Trash",Takin' a Ride,The Replacements,FALSE,22,0.408,0.89,4,-7.393,1,0.052,0.00329,2.87E-06,0.699,0.782,93.127,audio_features,spotify:track:2c2HQH3k6C9LLjLAKGeMxn,https://api.spotify.com/v1/tracks/2c2HQH3k6C9LLjLAKGeMxn,https://api.spotify.com/v1/audio-analysis/2c2HQH3k6C9LLjLAKGeMxn,2.387783333,4,hardcore
7jmIBvIkPcAR6yzbR7YsJH,Zen Arcade,Chartered Trips,Hüsker Dü,FALSE,32,0.327,0.961,1,-10.603,0,0.0533,0.00446,0.00939,0.308,0.31,107.484,audio_features,spotify:track:7jmIBvIkPcAR6yzbR7YsJH,https://api.spotify.com/v1/tracks/7jmIBvIkPcAR6yzbR7YsJH,https://api.spotify.com/v1/audio-analysis/7jmIBvIkPcAR6yzbR7YsJH,3.656666667,4,hardcore
